hospital_id,row_id,line_type,description,rev_code,local_code,code,ms_drg,apr_drg,eapg,hcpcs_cpt,modifiers,alt_hcpcs_cpt,thru,apc,icd,ndc,drug_hcpcs_multiplier,drug_quantity,drug_unit_of_measurement,drug_type_of_measurement,billing_class,setting,rate_category,payer_name,carrier,plan_type,standard_charge,standard_charge_percent,contracting_method,additional_generic_notes,additional_payer_specific_notes
140007,9.57553E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,MCR_MEDICARE_401, Humana, HMO,61836.31,,,,
140007,9.65477E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,UNIHMCR00_UNITED_HEALTHCARE_MEDICARE_401, Blue Cross, POS/Choice,61836.31,,,,
140007,9.99512E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCLOC01_BLUE_CROSS_LOCALS_401, Blue Cross, HMO,61836.31,,,,
140007,1.02901E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCFEP01_BLUE_CROSS_FEDERAL_401, Humana, PPO,61836.31,,,,
140007,1.03778E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHMDR_BC_SITE_99IPOBSSDCEDNST_400, Blue Cross, HMO,52632.22,,,,
140007,1.06686E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCOS02_BLUE_CROSS_OUT_OF_STATE_401, Blue Cross, POS/Choice,61836.31,,,,
140007,1.10196E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,HUMAHM02_HUM_HMOPOS_357, Healthlink, HMO,41225.99,,,,
140007,1.1206E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUECHS01_BLUE_CROSS_POSCHOICE_SELECT_399,Blue Cross, Medicare/Medicaid,47554.47,,,,
140007,1.13456E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHMPC_BLUE_CROSS_HMO_PRIMARY_CARE_400, Blue Cross, POS/Choice,52632.22,,,,
140007,1.23422E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,HUMAPP_Humana_PPO_358, Blue Cross, Local/Regional,57945.15,,,,
140007,1.24178E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUPHP01_Blue_Cross_PHPIPOBSSDCED_400, Health Alliance, PPO,52632.22,,,,
140007,1.26139E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUECHS01_BLUE_CROSS_POSCHOICE_SELECT_401, Blue Cross, HMO,61836.31,,,,
140007,1.32418E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,HEALHM00_HEALTHLINK_HMO_356, Humana, PPO,61467.5,,,,
140007,1.32861E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,ANMCDIN01_Anthem_BC_IN_Medicaid_401, Cigna, PPO,61836.31,,,,
140007,1.32999E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHPP01_Blue_Choice_UniteHere_Select_399, Blue Cross, Local/Regional,47554.47,,,,
140007,1.34529E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,HEAAPP00_Health_Alliance_Other_354, Cigna, PPO,44785.76,,,,
140007,1.36356E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,HEAAPP01_HEALTH_ALLIANCE_PPO_354, Self Pay, Other,44785.76,,,,
140007,1.42461E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCHMSC02_BC_SILVER_CRCLINOPRCRREF_400, Health Alliance, HMO,52632.22,,,,
140007,1.42572E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,HUMAPP01_HUM_PPOEPO_358, Blue Cross, Other,57945.15,,,,
140007,1.44079E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGNIN00_CIGNA_INDEMNITY_350, Cigna, PPO,58832.42,,,,
140007,1.47183E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCFEP02_BLUE_CROSS_FEDERAL_401, Caterpillar, HMO,61836.31,,,,
140007,1.47638E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGNTPH00_CIGNA_TPARENTAL_350, UnitedHealthcare, HMO,58832.42,,,,
140007,1.51887E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,cash,SP_SELF_PAY_INSURANCE_401, Blue Cross, HMO,61836.31,,,,
140007,1.54371E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,HEAASOI01_Health_AllianceHMO_State_of_IL_354, Humana, HMO,44785.76,,,,
140007,1.57253E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCFEP01_BLUE_CROSS_FEDERAL_350, Coventry, PPO,58832.42,,,,
140007,1.63169E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGNPP01_CIGNA_PPOPOSOA_350, Self Pay, Other,58832.42,,,,
140007,1.64988E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CATMC01_CATERPILLAR_MANAGED_CARE_401,Other, Medicare/Medicaid,61836.31,,,,
140007,1.65636E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,UNIHHM00_United_Healthcare_HMO_87726_425, Wellcare, Medicare/Medicaid,63071,,,,
140007,1.66617E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,UNIHPP00_UNITED_HLTHCR_PPOPOSOA_87726_425, Cigna, Local/Regional,63071,,,,
140007,1.68796E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUCSOI01_BC_HMOBlue_Adv_State_of_IL_400, UnitedHealthcare, HMO,52632.22,,,,
140007,1.69057E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,HUMAHM01_HUM_HMOPOS_357, UnitedHealthcare, PPO,41225.99,,,,
140007,1.71055E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,COVPP01_COVENTRY_PPO_353, Ascension, Medicare/Medicaid,49323.66,,,,
140007,1.71124E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,cash,SP_SELF_PAY_INSURANCE_425, Healthspring, Medicare/Medicaid,63071,,,,
140007,1.71365E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,MCDIL_Illinois_Medicaid_401, Healthspring, Medicare/Medicaid,61836.31,,,,
140007,1.76384E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,WELCMCR01_WELLCARE_MCR_HMO_401, Medicare, Medicare/Medicaid,61836.31,,,,
140007,1.7862E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,CIGLPLO01_CIGNA_LOCAL_PLUS_OUTOFNETWORK_352, Medicare, Medicare/Medicaid,42091.88,,,,
140007,1.79912E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,UNIHHM002_UNITED_HEALTH_CARE_HMO_87726_425, Humana, Medicare/Medicaid,63071,,,,
140007,1.82448E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,UNIHTPH00_UNITED_HEALTHCARE_TPARENTAL_425,Other, Medicare/Medicaid,63071,,,,
140007,1.84059E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,BLUPHP02_Blue_Cross_PHPClinOPRCRREF_400, Aetna, Medicare/Medicaid,52632.22,,,,
140080,2.74901E+17,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102002601_ASCENSION_COMPLETE_ILLINOIS_MEDICARE_2161, Blue Cross, Medicare/Medicaid,46971.17,,,,
140080,2.32911E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000303_HEALTHSPRING_MC_TOTAL_CARE_2161,Other, Medicare/Medicaid,46971.17,,,,
140080,2.60389E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000301_HEALTH_SPRINGMC_2161, Wellcare, Medicare/Medicaid,46971.17,,,,
140080,3.31474E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,min,Min_Negotiated_Rate, Aetna, HMO,21517,,,,
140080,3.77061E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I100020103_MEDICARE_PART_A_B_2152, Medicare, Medicare/Medicaid,46971.17,,,,
140080,4.42811E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I100020104_MEDICARE_RAILROAD_2152, AARP, Medicare/Medicaid,46971.17,,,,
140080,4.63905E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000704_HUMANA_MMAI_2147, Medicare, Medicare/Medicaid,51668.28,,,,
140080,4.88133E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102002001_MERIDIAN_COMPLETE_MC_RPL_2159, UnitedHealthcare, Medicare/Medicaid,49319.72,,,,
140080,5.13098E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000603_AETNA_MEDICARE_HMO_ADVOCATE_2154, Wellcare, Medicare/Medicaid,46971.17,,,,
140080,5.25479E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102001002_BLUE_MEDICARE_ADVANTAGE_HMO_2156, Cigna, Medicare/Medicaid,43683.18,,,,
140080,5.92001E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102001601_MOLINA_HEALTHCARE_MMAI_MC_RPL_2150, Ambetter, HMO,51668.28,,,,
140080,7.33486E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000901_WELLCARE_ADVOCATE_MC_REPLACEMENT_2161, Humana, Medicare/Medicaid,46971.17,,,,
140080,7.54676E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I103000116_AETNA_SMART_CARE_1344, Ambetter, HMO,70456.75,,,,
140080,7.65611E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000403_MISC_MC_RPLCMNT_ADVANTAGE_PPO_2161, Humana, Medicare/Medicaid,46971.17,,,,
140080,8.23979E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000102_AARP_MC_PPO_2163, AARP, Medicare/Medicaid,46971.17,,,,
140080,8.29404E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102002701_BRIGHT_HEALTH_MA_2161, Humana, Medicare/Medicaid,46971.17,,,,
140080,8.33942E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I100020102_MEDICARE_PART_B_2152, Aetna, Medicare/Medicaid,46971.17,,,,
140080,8.44444E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000801_UNITED_HEALTHCARE_MC_REPLACEMENTADVANTAGE_2161, Medicare, Medicare/Medicaid,46971.17,,,,
140080,8.65466E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000902_WELLCARE_HMOMC_2161, Humana, Medicare/Medicaid,46971.17,,,,
140080,9.04901E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102001704_Cigna_HealthspringTrue_Choice_MCR_2161, Aetna, Medicare/Medicaid,46971.17,,,,
140080,9.07653E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I100011701_AMBETTER_OUT_OF_NETWORK_1698, Medicare, Medicare/Medicaid,76093.29,,,,
140080,9.2613E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000702_HUMANA_GOLD_PLUS_ADVOCATE_MC_2148, Blue Cross, Medicare/Medicaid,46971.17,,,,
140080,9.27166E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I103008001_AMBETTER_1698, Amita Health, Medicare/Medicaid,76093.29,,,,
140080,9.38517E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000701_HUMANA_CHOICE_PPO_MC_2148, Aetna, Medicare/Medicaid,46971.17,,,,
140080,1.02882E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000101_AARP_MC_HMO_2163, Medicare, Medicare/Medicaid,46971.17,,,,
140080,1.16114E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102001003_BLUE_CROSS_COMMUNITY_MMAI_2156, Clear Spring, Medicare/Medicaid,43683.18,,,,
140080,1.2113E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000604_AETNA_BETTER_HEALTH_PREMIER_PLAN_MMAI_2143, Health Alliance, Medicare/Medicaid,49319.72,,,,
140080,1.28752E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I100020101_MEDICARE_PART_A_2152, Blue Cross, Medicare/Medicaid,46971.17,,,,
140080,1.28957E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000703_HUMANA_GOLD_PLUS_MC_2148, UnitedHealthcare, PPO,46971.17,,,,
140080,1.33335E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000602_AETNA_MEDICARE_HMO_2154, Healthlink, PPO,46971.17,,,,
140080,1.33862E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000401_MISC_MEDICARE_REPLACEMENT_2161, UnitedHealthcare, PPO,46971.17,,,,
140080,1.35052E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102001001_Blue_Cross_Medicare_Adv_PPO_2156, Humana, POS/Choice,43683.18,,,,
140080,1.38843E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102002201_AMITA_HEALTH_CIN_2156, Blue Cross, Local/Regional,43683.18,,,,
140080,1.52939E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000601_AETNA_MEDICARE_PPO_2154, Healthlink, Local/Regional,46971.17,,,,
140080,1.60313E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102000402_MISC_MC_RPLCMNT_ADVANTAGE_PFFS_2161, Blue Cross, Local/Regional,46971.17,,,,
140080,1.67354E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102002401_CLEAR_SPRING_MEDICARE_CCAI_2161, UnitedHealthcare, PPO,46971.17,,,,
140080,1.71603E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,max,Max_Negotiated_Rate,Other, Local/Regional,76093.29,,,,
140080,1.75801E+19,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,I102001802_HEALTH_ALLIANCE_MEDICARE_REPLACEMENT_2161, Cigna, PPO,46971.17,,,,
140094,1.95751E+17,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,i103000621_RPPGHMOIBLUE_ADV_2040, UnitedHealthcare, HMO,52632.22,,,,
140094,4.56128E+17,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,i103004603_UHC_CHOICE_PLUS_2126, Blue Cross, Local/Regional,63071,,,,
140094,6.44033E+17,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,i103002203_HEALTHLINK_OPEN_ACCESS_1825, Cigna, HMO,61467.5,,,,
140094,9.01589E+17,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,i103004619_UHC_ALL_SAVERS_2126, Humana, Local/Regional,63071,,,,
140094,9.66044E+17,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,i103002503_HUMANA_CHOICE_POS_1817, Blue Cross, Medicare/Medicaid,50152.14,,,,
140094,1.07597E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,i103000634_UNIFIED_PHYS_NETWORK_BCBS_2040, UnitedHealthcare, HMO,52632.22,,,,
140094,1.2696E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,i103002204_HEALTHLINK_STATE_OF_ILLINOIS_1825, Cigna, PPO,61467.5,,,,
140094,1.33699E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,i101000106_BLUE_CROSS_OUT_OF_ST_HMO_2040,Other, Medicare/Medicaid,52632.22,,,,
140094,1.45653E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,negotiated,i103004609_UHC_OXFORD_HEALTH_PLANS_2126, Cigna, PPO,63071,,,,
140094,2.15077E+18,3-DRG,Revision Of Hip Or Knee Replacement With MCC,,,466,466,,,,,,,,,,,,,,,,min,Min_Negotiated_Rate, Blue Cross, Medicare/Medicaid,21517,,,,
