id,ein,name,alt_name,system_name,addr,city,state,zip,phone,urban_rural,category,control_type,medicare_termination_status,last_updated,file_name,mrf_url,permalink,transparency_page,additional_notes
140012,,KATHERINE SHAW BETHEA HOSPITAL,Katherine Shaw Bethea Hospital,,403 E 1ST ST,DIXON,IL,61021,8152885531,R,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140013,37-0681540,PROCTOR HOSPITAL,Carle Health Proctor Hospital,Unitypoint Health,5409 N KNOXVILLE AVE,PEORIA,IL,61614,3096911000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2023-04-26,370681540_carle-health---proctor-hospital_standardcharges.json,https://search.hospitalpriceindex.com/hpi2/machineReadable/UnityPointHealth-ProctorHospital/7953or,,https://www.unitypoint.org/patients-and-visitors/billing-and-financial-information/price-transparency,
140014,,EUREKA COMMUNITY HOSPITAL,,,101 S MAJOR STREET,EUREKA,IL,61530,3094672371,U,Short Term,FOR PROFIT - INDIVIDUAL,OTHER-PROVIDER STATUS CHANGE,,,,,,
140015,,BLESSING HOSPITAL,Blessing Hospital,Blessing Health System,1005 BROADWAY ST,QUINCY,IL,62301,2172231200,R,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140016,,CLAY COUNTY HOSPITAL,,,911 STACY BURK DRIVE,FLORA,IL,62839,6186622131,R,Short Term,GOVERNMENT - STATE,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140017,,LUTHERAN GEN HOSPITAL-LINCOLN PARK,,,2035 NORTH LINCOLN AVENUE,CHICAGO,IL,60614,3129755050,U,Short Term,FOR PROFIT - INDIVIDUAL,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140018,,MT SINAI HOSPITAL MEDICAL CENTER,Mount Sinai Hospital,Sinai Chicago,1500 S FAIRFIELD AVE,CHICAGO,IL,60608,7735422000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140019,,HSHS GOOD SHEPHERD HOSPITAL INC,HSHS Good Shepherd Hospital,Hospital Sisters Health System,200 S CEDAR ST,SHELBYVILLE,IL,62565,2177743961,R,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140023,,ST JOSEPHS HOSPITAL,,,915 E 5TH ST,ALTON,IL,62002,6184635151,U,Short Term,FOR PROFIT - INDIVIDUAL,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140024,,LAWRENCE COUNTY MEMORIAL HOSPITAL,,,2200 WEST STATE ST,LAWRENCEVILLE,IL,62439,6189431000,R,Short Term,GOVERNMENT - STATE,OTHER-PROVIDER STATUS CHANGE,,,,,,
140025,,MENDOTA COMMUNITY HOSPITAL,,,MEMORIAL DR,MENDOTA,IL,61342,8155397461,R,Short Term,FOR PROFIT - CORPORATION,OTHER-PROVIDER STATUS CHANGE,,,,,,
140026,,ST MARYS HOSPITAL,,,111  SPRING STREET,STREATOR,IL,61364,8156732311,R,Short Term,FOR PROFIT - INDIVIDUAL,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140027,,PERRY MEMORIAL HOSPITAL,,,530 PARK AVENUE E,PRINCETON,IL,61356,8158752811,R,Short Term,GOVERNMENT - STATE,OTHER-PROVIDER STATUS CHANGE,,,,,,
140029,,RUSH COPLEY MEDICAL CENTER,RUSH Copley Medical Center,Rush University Health,2000 OGDEN AVENUE,AURORA,IL,60504,6309786200,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140030,,ADVOCATE SHERMAN HOSPITAL,Advocate Sherman Hospital,Advocate Aurora Health,1425 NORTH RANDALL ROAD,ELGIN,IL,60123,8477429800,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140031,,PARIS COMMUNITY HOSPITAL,,,EAST COURT STREET,PARIS,IL,61944,2174654141,R,Short Term,FOR PROFIT - CORPORATION,OTHER-PROVIDER STATUS CHANGE,,,,,,
140032,,ST ANTHONYS MEMORIAL HOSPITAL,HSHS Saint Anthony's Memorial Hospital,Hospital Sisters Health System,503 N MAPLE STREET,EFFINGHAM,IL,62401,2173422121,R,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,,,,,,
140033,,LAKE BEHAVIORAL HOSPITAL,,,2615 W WASHINGTON ST,WAUKEGAN,IL,60085,8472493900,U,Short Term,NONPROFIT - CHURCH RELATED,OTHER-PROVIDER STATUS CHANGE,,,,,,
140034,,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,SSM Health Saint Mary's Hospital-Centralia,SSM Health,400 NORTH PLEASANT AVENUE,CENTRALIA,IL,62801,6184368000,R,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,,,,,,
140035,,FRANKLIN HOSPITAL,,,201 BAILEY LANE,BENTON,IL,62812,6184393161,R,Short Term,GOVERNMENT - COUNTY,OTHER-PROVIDER STATUS CHANGE,,,,,,
140036,,KEWANEE HOSPITAL,,,719 ELLIOTT ST,KEWANEE,IL,61443,3098533361,U,Short Term,FOR PROFIT - PARTNERSHIP,OTHER-PROVIDER STATUS CHANGE,,,,,,
140037,,MARSHALL BROWNING HOSPITAL,,,900 N WASHINGTON,DU QUOIN,IL,62832,6185422146,R,Short Term,FOR PROFIT - CORPORATION,OTHER-PROVIDER STATUS CHANGE,,,,,,
140038,,ROCHELLE COMMUNITY HOSPITAL,,,900 N 2ND ST,ROCHELLE,IL,61068,8155622181,R,Short Term,FOR PROFIT - PARTNERSHIP,OTHER-PROVIDER STATUS CHANGE,,,,,,
140039,,FAIRBURY HOSPITAL,,,519 SOUTH 5TH STREET,FAIRBURY,IL,61739,8156922346,R,Short Term,FOR PROFIT - CORPORATION,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140040,,GALESBURG COTTAGE HOSPITAL,,,695 N KELLOGG ST,GALESBURG,IL,61401,3093438131,R,Short Term,NONPROFIT - CHURCH RELATED,INVOLUNTARY-FAILURE TO MEET HEALTH/SAFETY REQ,,,,,,
140041,,HAMMOND-HENRY HOSPITAL,,,600 N COLLEGE AVENUE,GENESEO,IL,61254,3099446431,U,Short Term,GOVERNMENT - COUNTY,OTHER-PROVIDER STATUS CHANGE,,,,,,
140042,,MASSAC MEMORIAL HOSPITAL,,,MEMORIAL HEIGHTS,METROPOLIS,IL,62960,6185242176,R,Short Term,GOVERNMENT - COUNTY,OTHER-PROVIDER STATUS CHANGE,,,,,,
140043,,CGH MEDICAL CENTER,CGH Medical Center,,100 EAST LEFEVRE ROAD,STERLING,IL,61081,8156250400,R,Short Term,GOVERNMENT - STATE,ACTIVE PROVIDER,,,,,,
140045,37-6012895,FAYETTE COUNTY HOSPITAL,,,7TH AND TAYLOR,VANDALIA,IL,62471,6182831231,R,Short Term,GOVERNMENT - COUNTY,OTHER-PROVIDER STATUS CHANGE,2023-01-30,376012895_fayette-county-hospital_standardcharges.csv,https://apps.para-hcfs.com/PTT/FinalLinks/Fayette_V3.aspx,,https://www.sblfch.org/about/hospital-charges/,
140046,,GOOD SAMARITAN REGIONAL HLTH CENTER,SSM Health Good Samaritan Hospital - Mount Vernon,SSM Health,1 GOOD SAMARITAN WAY,MOUNT VERNON,IL,62864,6188991469,R,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140047,,COMMUNITY MEDICAL CTR WESTERN ILL INC,,,1000 W HARLEM AVE,MONMOUTH,IL,61462,3097343141,R,Short Term,GOVERNMENT - STATE,OTHER-PROVIDER STATUS CHANGE,,,,,,
140048,,ADVOCATE TRINITY HOSPITAL,Advocate Trinity Hospital,Advocate Aurora Health,2320 E 93RD ST,CHICAGO,IL,60617,7739675002,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,,,,,,
140049,,WEST SUBURBAN MEDICAL CENTER,West Suburban Medical Center,,3 ERIE COURT,OAK PARK,IL,60302,7083836200,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,,,,,,
140051,,SKOKIE HOSPITAL,Skokie Hospital,,9600 GROSS POINT ROAD,SKOKIE,IL,60076,8476779600,U,Short Term,FOR PROFIT - CORPORATION,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140052,,OSF SAINT ANTHONY'S HEALTH CENTER,OSF Saint Anthony's Health Center,OSF Healthcare System,ST ANTHONY'S WAY,ALTON,IL,62002,6184652571,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,,,,,,
140053,,ST JOHNS HOSPITAL,HSHS Saint John's Hospital,Hospital Sisters Health System,800 E CARPENTER ST,SPRINGFIELD,IL,62769,2175446464,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,,,,,,
140054,,MACNEAL  HOSPITAL,MacNeal Hospital,Trinity Health,3249 SOUTH OAK PARK AVENUE,BERWYN,IL,60402,7087839100,U,Short Term,NONPROFIT - CHURCH RELATED,ACTIVE PROVIDER,,,,,,
140055,,PINCKNEYVILLE COMMUNITY HOSPITAL,,,101 NORTH WALNUT STREET,PINCKNEYVILLE,IL,62274,6183572187,R,Short Term,GOVERNMENT - COUNTY,OTHER-PROVIDER STATUS CHANGE,,,,,,
140058,,JACKSONVILLE MEMORIAL HOSPITAL,,Memorial Health System,1600 W WALNUT ST,JACKSONVILLE,IL,62650,2172459551,R,Short Term,FOR PROFIT - PARTNERSHIP,OTHER-PROVIDER STATUS CHANGE,,,,,,
140059,,JERSEY COMMUNITY HOSPITAL,Jersey Community Hospital,,400 MAPLE SUMMIT ROAD,JERSEYVILLE,IL,62052,6184986402,U,Short Term,GOVERNMENT - STATE,ACTIVE PROVIDER,,,,,,
140061,,RED BUD REGIONAL HOSPITAL,,,325 SPRING STREET,RED BUD,IL,62278,6182823831,R,Short Term,NONPROFIT - CHURCH RELATED,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140062,36-2169179,PALOS COMMUNITY HOSPITAL,Northwestern Medicine Palos Hospital,Northwestern Memorial Medicine,12251 SOUTH 80TH AVENUE,PALOS HEIGHTS,IL,60463,7089234000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2023-03-01,36-2169179-northwestern-medicine-palos-hospital-standard-charges.json,https://www.nm.org/-/media/northwestern/resources/patients-and-visitors/billing-and-insurance/chargemaster/36-2169179-northwestern-medicine-palos-hospital-standard-charges.json,,https://www.nm.org/patients-and-visitors/billing-and-insurance/chargemaster,
140063,,RUSH OAK PARK HOSPITAL,Rush Oak Park Hospital,Rush University Health,520 S MAPLE AVE,OAK PARK,IL,60304,7083839300,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,,,,,,
140064,,ST MARY MEDICAL CENTER,OSF Saint Mary Medical Center,OSF Healthcare System,3333 NORTH SEMINARY,GALESBURG,IL,61401,3093443161,R,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,,,,,,
140065,,ADVENTHEALTH LA GRANGE,AdventHealth La Grange,AdventHealth,5101 S WILLOW SPRINGS RD,LA GRANGE,IL,60525,7083521200,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,,,,,,
140066,,KENNETH HALL REGIONAL HOSPITAL,,,129 N 8TH ST,EAST SAINT LOUIS,IL,62201,6182741900,U,Short Term,FOR PROFIT - INDIVIDUAL,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140067,,SAINT FRANCIS MEDICAL CENTER,OSF Saint Francis Medical Center,OSF Healthcare System,530 NE GLEN OAK AVE,PEORIA,IL,61637,3096552000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140068,36-1703630,ROSELAND COMMUNITY HOSPITAL,The New Roseland Community Hospital,,45 W 111TH STREET,CHICAGO,IL,60628,7739953000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2023-04-12,361703630_roseland-community-hospital_standardcharges.csv,https://apps.para-hcfs.com/PTT/FinalLinks/Roseland_V2.aspx,,https://www.roselandhospital.org/cost-of-care-estimate/,
140069,,WASHINGTON COUNTY HOSPITAL,,,603 S GRAND,NASHVILLE,IL,62263,6183278236,R,Short Term,GOVERNMENT - COUNTY,OTHER-PROVIDER STATUS CHANGE,,,,,,
140070,,WOOD RIVER TOWNSHIP HOSPITAL,,,EDWARDSVILLE ROAD,WOOD RIVER,IL,62095,6182543821,U,Short Term,GOVERNMENT - STATE,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140072,,MARTHA WASHINGTON HOSPITAL,,,4055 N WESTERN AVE,CHICAGO,IL,60618,3125839000,U,Short Term,FOR PROFIT - CORPORATION,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140074,,GALENA-STAUSS HOSPITAL,,,215 SUMMITT ST,GALENA,IL,61036,8157771340,R,Short Term,GOVERNMENT - COUNTY,OTHER-PROVIDER STATUS CHANGE,,,,,,
140075,,MICHAEL REESE HOSPITAL & MED CENTER,,,2929 S ELLIS,CHICAGO,IL,60616,3127913545,U,Short Term,FOR PROFIT - PARTNERSHIP,INVOLUNTARY-FAILURE TO MEET HEALTH/SAFETY REQ,,,,,,
140077,,TOUCHETTE REGIONAL HOSPITAL INC,Touchette Regional Hospital,,5900 BOND AVENUE,CENTREVILLE,IL,62207,6183323060,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140079,,ST JAMES HOSPITAL & HEALTH CENTERS,,,1423 CHICAGO ROAD,CHICAGO HEIGHTS,IL,60411,7087561000,U,Short Term,FOR PROFIT - INDIVIDUAL,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140080,36-2235165,PRESENCE SAINT FRANCIS HOSPITAL,Ascension Saint Francis,Ascension Healthcare,355 RIDGE AVE,EVANSTON,IL,60202,8473164000,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2022-09-30,362235165_amita-health-saint-francis-hospital-evanston_standardcharges.xlsx,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/il/362235165_amita-health-saint-francis-hospital-evanston_standardcharges.xlsx,,https://healthcare.ascension.org/price-transparency/price-transparency-files,
140081,,MEMORIAL HOSPITAL,,,SOUTH ADAMS STREET,CARTHAGE,IL,62321,2173573131,R,Short Term,FOR PROFIT - PARTNERSHIP,OTHER-PROVIDER STATUS CHANGE,,,,,,
140082,,LOUIS A WEISS MEMORIAL HOSPITAL,Weiss Memorial Hospital,,4646 N MARINE DRIVE,CHICAGO,IL,60640,7738788700,U,Short Term,NONPROFIT - CHURCH RELATED,ACTIVE PROVIDER,,,,,,
140083,,LORETTO HOSPITAL,Loretto Hospital,,645 SOUTH CENTRAL AVE,CHICAGO,IL,60644,7736264300,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,,,,,,
140084,,VISTA MEDICAL CENTER EAST,Vista Medical Center East,,1324 NORTH SHERIDAN ROAD,WAUKEGAN,IL,60085,8473603000,U,Short Term,NONPROFIT - CHURCH RELATED,ACTIVE PROVIDER,,,,,,
140085,,CENTRAL COMMUNITY HOSPITAL,,,5701 SOUTH WOOD STREET,CHICAGO,IL,60636,3127374600,U,Short Term,FOR PROFIT - CORPORATION,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140086,,COMMUNITY MEMORIAL HOSPITAL,,,400 CALDWELL,STAUNTON,IL,62088,6186352200,U,Short Term,FOR PROFIT - CORPORATION,OTHER-PROVIDER STATUS CHANGE,,,,,,
140087,,EDGEWATER MEDICAL CENTER,,,5700 N ASHLAND AVENUE,CHICAGO,IL,60660,7738786000,U,Short Term,FOR PROFIT - CORPORATION,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140088,,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,UChicago Medicine,University of Chicago Medicine,5841 SOUTH MARYLAND,CHICAGO,IL,60637,7737021000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140089,,MC DONOUGH DISTRICT HOSPITAL,McDonough District Hospital,,525 EAST GRANT STREET,MACOMB,IL,61455,3098334101,R,Short Term,GOVERNMENT - COUNTY,ACTIVE PROVIDER,,,,,,
140090,,COLUMBUS HOSPITAL,,,2520 N LAKEVIEW AVENUE,CHICAGO,IL,60614,3128837300,U,Short Term,FOR PROFIT - INDIVIDUAL,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140091,,THE CARLE FOUNDATION HOSPITAL,Carle Foundation Hospital,Carle Health,611 WEST PARK STREET,URBANA,IL,61801,8887122753,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140093,,OSF SACRED HEART MEDICAL CENTER,OSF Sacred Heart Medical Center,OSF Healthcare System,812 N LOGAN AVE,DANVILLE,IL,61832,2174435000,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,,,,,,
140094,36-2235165,ST MARY & ELIZABETH MED CTR-CLAREMONT CAMPUS,Ascension Saint Elizabeth,,1431 N CLAREMONT AVE,CHICAGO,IL,60622,7332782000,U,Short Term,FOR PROFIT - INDIVIDUAL,"VOLUNTARY-MERGER, CLOSURE",2022-09-30,362235165_amita-health-saints-mary-and-elizabeth-medical-center-chicago_standardcharges.xlsx,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/il/362235165_amita-health-saints-mary-and-elizabeth-medical-center-chicago_standardcharges.xlsx,,https://healthcare.ascension.org/price-transparency/price-transparency-files,
140095,,SAINT ANTHONY HOSPITAL,Saint Anthony Hospital,,2875 WEST 19TH STREET,CHICAGO,IL,60623,7735211710,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140097,,HOOPESTON COMM MEMORIAL HOSPITAL,,,701 EAST ORANGE ST,HOOPESTON,IL,60942,2172835531,U,Short Term,FOR PROFIT - PARTNERSHIP,OTHER-PROVIDER STATUS CHANGE,,,,,,
140098,,THC - CHICAGO,,,4058 W MELROSE STREET,CHICAGO,IL,60641,3127367000,U,Short Term,NONPROFIT - CHURCH RELATED,OTHER-PROVIDER STATUS CHANGE,,,,,,
140099,,MT SINAI HOSPITAL - NORTH,,,2451 W HOWARD STREET,CHICAGO,IL,60645,3127616000,U,Short Term,FOR PROFIT - CORPORATION,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140100,,"MIDWESTERN REGION MED CENTER, INC",City of Hope Chicago Comprehensive Care and Research Center,,2520 ELISHA AVENUE,ZION,IL,60099,8478724561,U,Short Term,NONPROFIT - CHURCH RELATED,ACTIVE PROVIDER,,,,,,
140101,36-2170155,MORRIS HOSPITAL & HEALTHCARE CENTERS,Morris Hospital,,150 W HIGH ST,MORRIS,IL,60450,8159422932,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2023-02-04,362170155_morris-hospital-&-healthcare-centers_standardcharges.csv,https://apps.para-hcfs.com/PTT/FinalLinks/Morris_V3.aspx,,https://www.morrishospital.org/patients-visitors/patients/billing-insurance/,
140102,,ST VINCENT MEMORIAL HOSPITAL,,,201 EAST PLEASANT ST,TAYLORVILLE,IL,62568,2178243331,R,Short Term,FOR PROFIT - INDIVIDUAL,OTHER-PROVIDER STATUS CHANGE,,,,,,
140103,,ST BERNARD HOSPITAL,Saint Bernard Hospital and Health Care Center,,326 W 64TH ST,CHICAGO,IL,60621,7739623900,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,,,,,,
140104,,MENNONITE HOSPITAL,,,807 N MAIN ST,BLOOMINGTON,IL,61701,3098274321,U,Short Term,FOR PROFIT - INDIVIDUAL,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140105,,HOLY FAMILY MEDICAL CENTER,,,100 N RIVER RD,DES PLAINES,IL,60016,8472971800,U,Short Term,FOR PROFIT - PARTNERSHIP,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140107,,CORNERSTONE HEALTHCARE OF ILLINOIS INC,,,400 PLUM STREET,CARMI,IL,62821,6183824171,R,Short Term,GOVERNMENT - COUNTY,OTHER-PROVIDER STATUS CHANGE,,,,,,
140108,,HIGHLAND PARK HOSPITAL,,,718 GLENVIEW AVE,HIGHLAND PARK,IL,60035,8474328000,U,Short Term,FOR PROFIT - CORPORATION,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140109,,SPARTA COMMUNITY HOSPITAL DISTRICT,,,818 E BROADWAY,SPARTA,IL,62286,6184432177,R,Short Term,GOVERNMENT - COUNTY,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140110,,OSF SAINT ELIZABETH MEDICAL CENTER,OSF Saint Elizabeth Medical Center,OSF Healthcare System,1100 E NORRIS DRIVE,OTTAWA,IL,61350,8154333100,R,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140111,,WALTHER MEMORIAL HOSPITAL,,,1116 N KEDZIE AVE,CHICAGO,IL,60651,3122273100,U,Short Term,FOR PROFIT - INDIVIDUAL,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140112,,MASON DISTRICT HOSPITAL,,,520 EAST FRANKLIN STREET,HAVANA,IL,62644,3095434431,R,Short Term,GOVERNMENT - COUNTY,OTHER-PROVIDER STATUS CHANGE,,,,,,
140113,,OSF HEART OF MARY MEDICAL CENTER,OSF Heart of Mary Medical Center,OSF Healthcare System,1400 WEST PARK AVENUE,URBANA,IL,61801,2173372000,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,,,,,,
140114,,SWEDISH HOSPITAL,Swedish Hospital,NorthShore University Health System,5145 N CALIFORNIA AVE,CHICAGO,IL,60625,7738788200,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,,,,,,
140115,,THOREK MEMORIAL HOSPITAL,Thorek Memorial Hospital,,850 W IRVING PARK RD,CHICAGO,IL,60613,7735256780,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140116,36-2338884,NORTHWESTERN MEDICINE MCHENRY HOSPITAL,Northwestern Medicine McHenry Hospital,Northwestern Memorial Medicine,4201 MEDICAL CENTER DRIVE,MCHENRY,IL,60050,8153445000,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,2023-03-01,36-2338884-northwestern-medicine-mchenry-hospital-standard-charges.json,https://www.nm.org/-/media/northwestern/resources/patients-and-visitors/billing-and-insurance/chargemaster/36-2338884-northwestern-medicine-mchenry-hospital-standard-charges.json,,https://www.nm.org/patients-and-visitors/billing-and-insurance/chargemaster,
140117,36-2235165,PRESENCE RESURRECTION MEDICAL CENTER,Ascension Resurrection,Ascension Healthcare,7435 W TALCOTT AVENUE,CHICAGO,IL,60631,7737748000,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2022-09-30,362235165_amita-health-resurrection-medical-center-chicago_standardcharges.xlsx,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/il/362235165_amita-health-resurrection-medical-center-chicago_standardcharges.xlsx,,https://healthcare.ascension.org/price-transparency/price-transparency-files,
140118,,METROSOUTH MEDICAL CENTER,,,12935 S GREGORY,BLUE ISLAND,IL,60406,7085972000,U,Short Term,NONPROFIT - CHURCH RELATED,"VOLUNTARY-MERGER, CLOSURE",,,,,,
140119,,RUSH UNIVERSITY MEDICAL CENTER,Rush University Medical Center,Rush University Health,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612,3129425000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140120,37-0692351,PEKIN MEMORIAL HOSPITAL,Carle Health Pekin Hospital,Unitypoint Health,600 SOUTH 13TH STREET,PEKIN,IL,61554,3093471151,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2023-04-26,370692351_carle-health---pekin-hospital_standardcharges.json,https://search.hospitalpriceindex.com/hpi2/machineReadable/UnityPointHealth-Pekin/7952or,,https://www.unitypoint.org/patients-and-visitors/billing-and-financial-information/price-transparency,
140121,,HOPEDALE HOSPITAL,,,107 TREMONT STREET,HOPEDALE,IL,61747,3094493321,U,Short Term,FOR PROFIT - CORPORATION,OTHER-PROVIDER STATUS CHANGE,,,,,,
140122,,ADVENTHEALTH HINSDALE,UChicago Medicine AdventHealth Hinsdale,AdventHealth,120 NORTH OAK ST,HINSDALE,IL,60521,6308569000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,,,,
140123,,TRINITY MEDICAL CENTER-EAST,,,501 10TH AVE,MOLINE,IL,61265,3097573131,U,Short Term,FOR PROFIT - PARTNERSHIP,"VOLUNTARY-MERGER, CLOSURE",,,,,,
